"Nom","Dernier","+ Haut","+ Bas","Var.","Var.%","Vol.","Heure"
"Anhui Conch Cement","22,35","22,45","22,15","0,00","0,00%","4,69M","07/03"
"China Coal","8,11","8,19","7,87","0,19","2,40%","29,54M","07/03"
"Tsingtao Brewery","53,80","54,90","52,40","0,75","1,41%","6M","07/03"
"Lenovo","12,62","13,02","12,22","0,12","0,96%","126,65M","07/03"
"China Telecom","6,21","6,32","6,05","0,11","1,80%","104,57M","07/03"
"Aia Group","63,70","64,40","63,25","-0,20","-0,31%","48,18M","07/03"
"Kunlun Energy","7,700","7,940","7,660","-0,060","-0,77%","20,09M","07/03"
"Sands China","18,340","18,780","18,120","-0,140","-0,76%","13,92M","07/03"
"Hysan Development","12,84","13,16","12,82","-0,34","-2,58%","1,07M","07/03"
"Galaxy Entertainment Group","32,55","33,25","32,20","-0,25","-0,76%","8,93M","07/03"
"Shangri-La Asia","4,60","4,64","4,51","0,07","1,55%","2,82M","07/03"
"Poly Property Group","1,58","1,62","1,57","-0,03","-1,86%","6,69M","07/03"
"Yuexiu Property Co","5,620","5,740","5,450","0,070","1,26%","26,7M","07/03"
"China Everbright","5,14","5,25","5,11","-0,04","-0,77%","5,56M","07/03"
"Geely Automobile","17,86","18,22","17,42","-0,08","-0,45%","74,21M","07/03"
"Uni-President China","9,13","9,19","8,78","0,29","3,28%","9,52M","07/03"
"Guangdong Investment","6,06","6,08","5,96","0,00","0,00%","16,86M","07/03"
"Shui On Land Ltd","0,710","0,730","0,710","-0,010","-1,39%","10,07M","07/03"
"Mongolia Energy","0,570","0,660","0,560","0,040","7,55%","807,35K","07/03"
"Sinofert Holdings","1,060","1,070","1,040","0,000","0,00%","49,64M","07/03"
"Orient Overseas Int","107,10","108,30","105,90","0,30","0,28%","859,43K","07/03"
"Huabao International Holdings","2,360","2,390","2,330","-0,020","-0,84%","4,33M","07/03"
"Shanghai Industrial","11,72","11,82","11,62","0,00","0,00%","955,21K","07/03"
"Beijing Enterprises Holdings","27,40","27,60","27,05","0,05","0,18%","1,37M","07/03"
