Symbol,Name,Price
BTC,Bitcoin,86277.50436215938
ETH,Ethereum,2178.185349401088
USDT,Tether USDt,0.999719504523567
XRP,XRP,2.352457807413876
BNB,BNB,597.2460008746475
SOL,Solana,136.98412408551513
USDC,USDC,0.9999890664891709
DOGE,Dogecoin,0.1953136661792089
ADA,Cardano,0.8190030142040745
TRX,TRON,0.246603612619145
PI,Pi,1.7900313934657415
LINK,Chainlink,15.37147551125608
HBAR,Hedera,0.22718875061890287
LEO,UNUS SED LEO,9.844970861199764
XLM,Stellar,0.2778427754780464
AVAX,Avalanche,20.48320985164373
SUI,Sui,2.527940471555087
LTC,Litecoin,104.1497499467407
BCH,Bitcoin Cash,387.1865379802576
SHIB,Shiba Inu,1.2868696127037829e-05
TON,Toncoin,2.9782912557867776
DOT,Polkadot,4.34757072050256
OM,MANTRA,6.605014609748375
BGB,Bitget Token,4.6268931367910175
USDe,Ethena USDe,0.9990042079981529
DAI,Dai,0.9999547961168608
HYPE,Hyperliquid,15.831431258744184
UNI,Uniswap,7.066497005574539
XMR,Monero,218.00218589314542
APT,Aptos,5.867321783372416
NEAR,NEAR Protocol,2.896963482498287
ONDO,Ondo,0.9470830783472354
ETC,Ethereum Classic,19.732541300336283
ICP,Internet Computer,5.9953730184531295
AAVE,Aave,190.18830525833482
PEPE,Pepe,6.708938232765182e-06
OKB,OKB,43.77286025506039
TRUMP,OFFICIAL TRUMP,11.994133825217727
MNT,Mantle,0.7042214354152019
VET,VeChain,0.027449209386290797
TAO,Bittensor,271.1509048756689
CRO,Cronos,0.08555233343910681
FDUSD,First Digital USD,0.9985324749049029
POL,POL (prev. MATIC),0.2428742217010989
FIL,Filecoin,3.082603239772614
ALGO,Algorand,0.22663494543011958
KAS,Kaspa,0.07135073766392591
TIA,Celestia,3.3142612426539193
RENDER,Render,3.506000738789979
GT,GateToken,21.031519711223137
ARB,Arbitrum,0.3917713787272824
ATOM,Cosmos,4.137549619108385
DEXE,DeXe,18.88705578215611
OP,Optimism,0.9360011086910488
JUP,Jupiter,0.5546495536618417
S,Sonic (prev. FTM),0.512665239786515
ENA,Ethena,0.44560996268023906
FET,Artificial Superintelligence Alliance,0.5945824831129609
KCS,KuCoin Token,11.301339636439074
IP,Story,4.7902319864299425
MOVE,Movement,0.4914448166717157
MKR,Maker,1339.284606521076
XDC,XDC Network,0.07238176618760493
INJ,Injective,11.165122259732557
STX,Stacks,0.6868173118010004
IMX,Immutable,0.5802216187037044
THETA,Theta Network,1.0170209046311594
SEI,Sei,0.2158115599937379
FLR,Flare,0.01639274962215604
QNT,Quant,81.67963693525884
GRT,The Graph,0.10216342620424855
WLD,Worldcoin,0.8906077446152931
LDO,Lido DAO,1.0533078849842228
BONK,Bonk,1.168572911599078e-05
EOS,EOS,0.5400592441790045
JASMY,JasmyCoin,0.016241581293678354
XTZ,Tezos,0.7441568590543908
NEXO,Nexo,1.1682944614941961
SAND,The Sandbox,0.3023563927634454
PYUSD,PayPal USD,0.9995727080650055
BTT,BitTorrent [New],7.432341907609278e-07
BERA,Berachain,6.790290790733023
IOTA,IOTA,0.1981679238436362
ENS,Ethereum Name Service,20.376765450695512
XAUt,Tether Gold,2902.973479257791
BSV,Bitcoin SV,35.68910556382199
JTO,Jito,2.31910123575553
KAIA,Kaia,0.11516686882435659
FLOW,Flow,0.4317268302287633
FLOKI,FLOKI,6.941303002846663e-05
GALA,Gala,0.017634782241281628
NEO,Neo,8.777786460003028
PAXG,PAX Gold,2935.451078127697
PYTH,Pyth Network,0.16672025900051166
EGLD,MultiversX,20.07090701045822
AXS,Axie Infinity,3.4582827061595625
RON,Ronin,0.8869974946797745
RAY,Raydium,1.8883279086555518
MANA,Decentraland,0.28136399616431346
HNT,Helium,3.0253643731361324
CRV,Curve DAO Token,0.4172478938877303
ZEC,Zcash,32.80153673958477
WIF,dogwifhat,0.5193821051911044
GRASS,Grass,2.1096120974906376
TUSD,TrueUSD,0.9973951257869325
CAKE,PancakeSwap,1.7013178413387104
DYDX,dYdX,0.6463304651870284
STRK,Starknet,0.1772521935311554
CFX,Conflux,0.09784102572436897
AERO,Aerodrome Finance,0.5945557758324573
NFT,APENFT,4.6767271422939235e-07
MATIC,Polygon,0.24320557722971448
XCN,Onyxcoin,0.014226306098497243
VIRTUAL,Virtuals Protocol,0.7063665576630506
AR,Arweave,6.970525558859302
CORE,Core,0.45730148737173043
FTT,FTX Token,1.3775614504760167
CHZ,Chiliz,0.04718799035468154
SPX,SPX6900,0.47829919739446686
KAVA,Kava,0.4110520550240786
XEC,eCash,2.2402714439521852e-05
COMP,Compound,49.64312579600569
RUNE,THORChain,1.1777553804549752
TWT,Trust Wallet Token,0.9898990165725806
MELANIA,Official Melania Meme,0.7671783682938819
APE,ApeCoin,0.5424289352389929
KAITO,KAITO,1.6865393547898115
PENDLE,Pendle,2.4047150465234144
PENGU,Pudgy Penguins,0.00602368347053633
AXL,Axelar,0.4022418349853729
MORPHO,Morpho,1.5254531326298644
AMP,Amp,0.0042728107936312425
AIOZ,AIOZ Network,0.30940346545243597
GNO,Gnosis,137.9451996345613
BRETT,Brett (Based),0.0358484547960117
BNX,BinaryX,0.9521708419369823
RSR,Reserve Rights,0.00623734249006494
MINA,Mina,0.283767771195077
LUNC,Terra Classic,6.313523743762642e-05
AKT,Akash Network,1.3143489714969496
BEAM,Beam,0.006559785346672871
JST,JUST,0.03264904914171047
1INCH,1inch Network,0.2281832395868689
ZK,ZKsync,0.08176554668004077
GLM,Golem,0.2996360655414597
